State,District,Latitude,Longitude,District code,Population,ST,SC,Workers,Male_Workers,Female_Workers,house_electricity,house_internet,Graduate_Education,sex_ratio,literacy_rate,Muslim_rate,Non_Muslim_rate
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,394279,637385,1741693,976428,765265,789225,7715,196134,101.77757908014694,57.35536109887357,5.40717476938405,93.1329574075279
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,192941,371074,1261076,684320,576756,545913,5261,141850,96.15182356495839,54.47383428675576,15.34867040196603,83.22803551865984
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,151145,787861,1700567,991842,708725,763746,6151,133627,101.90647798398274,56.054868242280676,6.494698373602775,92.72239045306948
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,166118,255664,1290288,766483,523805,615432,3988,121213,98.55748889359002,55.32067829917643,0.3338741910256097,98.66213559620498
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,235556,247728,1157962,679289,478673,527736,4453,103591,98.18089141392582,52.82157106455435,0.7004982780785797,98.06587746334571
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,530656,616102,1705655,960926,744729,828077,12952,248942,100.34141430848773,58.78941836418628,5.617899797755266,93.20097273340136
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,109072,811698,1773112,1199338,573774,1017568,12050,207586,99.63844693435455,67.37139716218022,2.1880300718878445,94.82405994870162
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,53878,0,62966,39329,23637,14593,170,3633,107.9547686523191,49.3665079000985,1.4396934410967037,32.16912012737306
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,72400,0,31710,16424,15286,5318,57,2330,97.14393085306276,48.861354682933026,0.8285677976871266,15.672893633244378
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,69979,0,40222,23591,16631,14231,450,6540,102.07340421198418,63.07174390710988,2.307134073820227,28.074666881690085
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,90764,0,38044,18429,19615,3911,95,2031,96.92031310150135,39.756288283591815,0.5115339502150398,5.277162344150485
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,47410,0,60945,38910,22035,17157,312,5180,109.66261420041722,56.998751080795465,2.639199593758149,67.94943935879665
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,25974,0,22326,14102,8224,5932,207,2795,107.78422407499903,58.89238165680474,4.154955621301775,53.46708579881657
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,72911,0,30202,17339,12863,12493,381,5230,101.59273557190376,65.1053835962905,1.7848970251716247,11.503071179091895
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,117216,0,65772,41263,24509,30539,2477,13840,102.0494101223238,68.55408244748631,3.4818460353508183,32.296557231286776
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,34811,0,28561,19554,9007,8635,96,1379,139.9740708729473,52.169998199171616,1.5747243732116774,23.694899653840768
